"App","Disposition","Reason"
"Box CLI","Skip-Component","CLI tool, low deployment value"
"Box Drive","Added-1.4.0.16","free MSI, direct download [ported, stage-verified 2026-08-31]"
"Brady Workstation","Skip-Niche","vertical/regional line-of-business software"
"BREAK PRO","Skip-Niche","regional wellness product"
"Bria Enterprise","Skip-Agent","UC/telephony clients provisioned per tenant"
"Bridge Designer 2016","Skip-Niche","education vertical"
"BrightAuthor connected","Skip-Niche","digital signage vertical"
"BrowserStackLocal","Skip-Agent","account-keyed tunnel binary"
"Bulk Crap Uninstaller","Added-1.4.0.16","free direct download, enterprise-relevant; port target [ported, stage-verified 2026-08-31]"
"Bullzip PDF to Word","Skip-Licensed","licensed PDF tools; free PDF stack covered elsewhere"
"BurnAware Free","Added-1.4.0.16","free direct download, enterprise-relevant; port target [ported, stage-verified 2026-08-31]"
"Burp Suite Community Edition","Skip-Wall","PortSwigger gated anonymous downloads as of 2026.4 (2026.4-2026.8 return HTML redirect to portswigger.net; 2026.3 and older still stream) - verified 2026-08-31"
"Burp Suite Professional Edition","Skip-Licensed","licensed security tooling"
"Business Tax Software BLR","Skip-Niche","vertical/regional line-of-business software"
"Bytello Share","Skip-Niche","AV-room/casting vertical tools"
"Calibrite Profiler","Added-1.4.0.16","free direct download, enterprise-relevant; port target [ported, stage-verified 2026-08-31]"
"Camtasia Studio 2018","Skip-Licensed","TechSmith licensed product, old years listed"
"Camtasia Studio 2019","Skip-Licensed","TechSmith licensed product, old years listed"
"Caphyon Advanced Installer","Skip-Licensed","licensed authoring tool"
"Capture One 20","Skip-Licensed","licensed photo editing, old versions listed"
"Capture One 22","Skip-Licensed","licensed photo editing, old versions listed"
"Cato Client","Skip-Agent","SASE client tied to org"
"Causasoft ExhibitManager","Skip-Niche","vertical/regional line-of-business software"
"Certify The Web","Added-1.4.0.16","free direct download, enterprise-relevant; port target [ported, stage-verified 2026-08-31]"
"Charles","Skip-Licensed","licensed proxy"
"Chatbox","Skip-Niche","consumer AI chat wrapper"
"Chef Workstation for Windows","Added-1.4.0.16","free direct download [ported, stage-verified 2026-08-31]"
"Cisco Jabber 14","Skip-Wall","Cisco software center requires entitled login"
"Cisco Jabber 15","Skip-Wall","Cisco software center requires entitled login"
"Cisco JVDI Agent 12","Skip-Wall","Cisco software center requires entitled login"
"Cisco JVDI Agent 14","Skip-Wall","Cisco software center requires entitled login"
"Cisco JVDI Agent 15","Skip-Wall","Cisco software center requires entitled login"
"Cisco Webex Meetings","Supported","webex packager"
"Cisco Webex Productivity Tools","Skip-Splinter","legacy Webex components; Webex app supported"
"Cisco WebEx Recorder and Player","Skip-Splinter","legacy Webex components; Webex app supported"
"Cisco WebEx Recording Editor","Skip-Splinter","legacy Webex components; Webex app supported"
"Cisco Webex Teams","Skip-Splinter","legacy Webex components; Webex app supported"
"Citrix Receiver","Skip-EOL","replaced by Workspace app"
"Citrix Workspace app","Supported","citrixworkspace-cr packager"
"Citrix Workspace app LTSR","Skip-Wall","LTSR requires entitled Citrix login"
"Class","Skip-Niche","education vertical"
"Classic Shell","Skip-EOL","abandoned 2017 (Open-Shell fork not in catalog)"
"ClassPoint","Skip-Niche","education vertical"
"ClipboardFusion","Skip-Niche","consumer utility (freemium)"
"ClockAssist","Skip-Niche","regional time-tracking SaaS"
"Clockify","Add","free direct download, enterprise-relevant; port target"
"Cloud Drive Mapper","Skip-Licensed","licensed (IAM Cloud)"
"CloudCompare","Add","free direct download, enterprise-relevant; port target"
"Cloudflare WARP","Add","free direct download, enterprise-relevant; port target"
"CloudShow","Skip-Niche","digital signage vertical"
"CMake","Add","free direct download, enterprise-relevant; port target"
"CodeMeter Runtime Kit","Add","free runtime redistributable, direct download (WIBU)"
"Colour Contrast Analyser","Add","free direct download, enterprise-relevant; port target"
"ComponentAgro CHECK PC2Web","Skip-Niche","vertical/regional line-of-business software"
"CPU-Z","Supported","existing packager: cpuz"
"Creative Force Kelvin","Skip-Niche","vertical/regional line-of-business software"
"Creative Force Triad","Skip-Niche","vertical/regional line-of-business software"
"Crestron AirMedia app","Skip-Niche","AV-room/casting vertical tools"
"Crestron AirMedia Peripheral Installer","Skip-Niche","AV-room/casting vertical tools"
"CrisisGo App","Skip-Niche","tenant safety platform"
"Cryptomator","Add","free direct download, enterprise-relevant; port target"
"Cube Browser","Skip-Niche","niche"
"CutePDF Writer","Supported","existing packager: cutepdfwriter"
"Cyberduck CLI","Skip-Splinter","duck CLI covered by Cyberduck packager"
"Dane Prairie Systems Win2PDF","Skip-Licensed","licensed PDF tools; free PDF stack covered elsewhere"
"Datadog Agent","Skip-Agent","installer public but install requires tenant API key at install time; borderline - excluded to keep packagers self-contained"
"DataGrip 1.0","Skip-Splinter","old DataGrip years; latest tracked by one packager"
"DataGrip 2016.3","Skip-Splinter","old DataGrip years; latest tracked by one packager"
"DataGrip 2020.3","Skip-Splinter","old DataGrip years; latest tracked by one packager"
"DataGrip 2021.1","Skip-Splinter","old DataGrip years; latest tracked by one packager"
"DataGrip 2021.2","Skip-Splinter","old DataGrip years; latest tracked by one packager"
"DataGrip 2021.3","Skip-Splinter","old DataGrip years; latest tracked by one packager"
"DataGrip 2022.1","Skip-Splinter","old DataGrip years; latest tracked by one packager"
"DataGrip 2022.2","Skip-Splinter","old DataGrip years; latest tracked by one packager"
"DataGrip 2024","Skip-Splinter","family collapsed to one packager (represented by 'DataGrip 2024.1')"
"DataGrip 2024.1","Add","JetBrains free direct download; one packager tracks latest"
"DataSpell","Skip-Licensed","licensed JetBrains IDE"
"David Kocher Cyberduck","Add","free direct download, enterprise-relevant; port target"
"DAX Studio","Add","free direct download, enterprise-relevant; port target"
"DB Browser for SQLite","Add","free direct download, enterprise-relevant; port target"
"DBeaver Community","Supported","dbeaver packager"
"DBeaver Enterprise","Skip-Licensed","commercial DBeaver editions"
"DBeaver Lite","Skip-Licensed","commercial DBeaver editions"
"DBeaver Ultimate","Skip-Licensed","commercial DBeaver editions"
"DbVisualizer","Add","free direct download, enterprise-relevant; port target"
"Dedoose Desktop App","Skip-Niche","research SaaS wrapper"
"Defraggler","Add","free direct download, enterprise-relevant; port target"
"Delinea Connection Manager","Skip-Agent","PAM agents tied to tenant infrastructure"
"Dell Command Update","Add","enterprise-standard Dell updater, free direct"
"Dell Command Update (Windows Universal Application)","Skip-Splinter","family collapsed to one packager (represented by 'Dell Command Update')"
"Dell Display Manager","Skip-Component","OEM device utilities; deploy via OEM tooling where hardware-matched"
"Dell EMC System Update","Skip-Component","OEM device utilities; deploy via OEM tooling where hardware-matched"
"Dell Peripheral Manager","Skip-Component","OEM device utilities; deploy via OEM tooling where hardware-matched"
"Dell SupportAssist","Skip-Component","OEM device utilities; deploy via OEM tooling where hardware-matched"
"Devolutions Launcher","Skip-Component","companion to RDM"
"Devolutions Remote Desktop Manager","Add","free edition direct download"
"Devolutions Remote Desktop Manager Agent","Skip-Component","RDM companion agent"
"Devolutions Workspace","Skip-Component","companion app"
"DevPod","Skip-EOL","Loft archived DevPod 2025"
"digiSeal Reader","Skip-Niche","vertical/regional line-of-business software"
"DiRoots ProSheets","Skip-Component","Revit add-in"
"Directory Opus","Skip-Licensed","licensed file manager"
"DisplayLink Dock Driver","Add","free direct driver, enterprise-standard for docks"
"Ditto Connect","Skip-Niche","screen-mirroring vertical"
"dnGrep","Add","free direct download, enterprise-relevant; port target"
"Docker Desktop","Skip-Licensed","free only for small orgs; license terms gate enterprise deployment"
"docuPrinter LT","Skip-Licensed","licensed PDF tools; free PDF stack covered elsewhere"
"docuPrinter PRO","Skip-Licensed","licensed PDF tools; free PDF stack covered elsewhere"
"docuPrinter TSE","Skip-Licensed","licensed PDF tools; free PDF stack covered elsewhere"
"Draftable Desktop","Add","free direct download, enterprise-relevant; port target"
"draw.io Desktop","Supported","existing packager: drawio"
"DroidCam Client","Skip-Niche","consumer webcam tool"
"dRofus","Skip-Niche","vertical/regional line-of-business software"
"Druva inSync","Skip-Agent","tenant-provisioned backup agent"
"Duo Desktop","Add","public installer; org enrollment happens post-install"
"DYMO ID","Skip-Component","label printer vendor software"
"Eclipse Temurin JDK with Hotspot 8 (LTS)","Supported","temurin LTS packagers"
"Eclipse Temurin JDK with Hotspot 11 (LTS)","Supported","temurin LTS packagers"
"Eclipse Temurin JDK with Hotspot 12","Skip-Splinter","non-LTS Temurin; LTS lines supported"
"Eclipse Temurin JDK with Hotspot 15","Skip-Splinter","non-LTS Temurin; LTS lines supported"
"Eclipse Temurin JDK with Hotspot 16","Skip-Splinter","non-LTS Temurin; LTS lines supported"
"Eclipse Temurin JDK with Hotspot 17 (LTS)","Supported","temurin LTS packagers"
"Eclipse Temurin JDK with Hotspot 18","Skip-Splinter","non-LTS Temurin; LTS lines supported"
"Eclipse Temurin JDK with Hotspot 19","Skip-Splinter","non-LTS Temurin; LTS lines supported"
"Eclipse Temurin JDK with Hotspot 20","Skip-Splinter","non-LTS Temurin; LTS lines supported"
"Eclipse Temurin JDK with Hotspot 21","Skip-Splinter","non-LTS Temurin; LTS lines supported"
"Eclipse Temurin JDK with Hotspot 22","Skip-Splinter","non-LTS Temurin; LTS lines supported"
"Eclipse Temurin JDK with Hotspot 23","Skip-Splinter","non-LTS Temurin; LTS lines supported"
"Eclipse Temurin JRE with Hotspot 8 (LTS)","Supported","temurin LTS packagers"
"Eclipse Temurin JRE with Hotspot 11 (LTS)","Supported","temurin LTS packagers"
"Eclipse Temurin JRE with Hotspot 12","Skip-Splinter","non-LTS Temurin; LTS lines supported"
"Eclipse Temurin JRE with Hotspot 15","Skip-Splinter","non-LTS Temurin; LTS lines supported"
"Eclipse Temurin JRE with Hotspot 16","Skip-Splinter","non-LTS Temurin; LTS lines supported"
"Eclipse Temurin JRE with Hotspot 17 (LTS)","Supported","temurin LTS packagers"
"Eclipse Temurin JRE with Hotspot 18","Skip-Splinter","non-LTS Temurin; LTS lines supported"
"Eclipse Temurin JRE with Hotspot 19","Skip-Splinter","non-LTS Temurin; LTS lines supported"
"Eclipse Temurin JRE with Hotspot 20","Skip-Splinter","non-LTS Temurin; LTS lines supported"
"Eclipse Temurin JRE with Hotspot 22","Skip-Splinter","non-LTS Temurin; LTS lines supported"
"Eclipse Temurin JRE with Hotspot 23","Skip-Splinter","non-LTS Temurin; LTS lines supported"
"Egnyte Connect Desktop App","Skip-Agent","tenant-provisioned"
"Egnyte WebEdit","Skip-Agent","tenant companion"
"Elgato Stream Deck","Skip-Component","peripheral utility"
"Elevate UC","Skip-Agent","UC/telephony clients provisioned per tenant"
"Encrypt.me","Skip-EOL","service shut down (StrongVPN merge)"
"Endnote 20","Skip-Licensed","licensed reference manager"
"Endnote X8","Skip-Licensed","licensed reference manager"
"Endnote X9","Skip-Licensed","licensed reference manager"
"Enpass","Skip-Licensed","licensed password manager"
"EnterpriseDB Corporation PostgreSQL 12","Skip-EOL","PG12 EOL; postgresql13-17 packagers exist"
"ESET Endpoint Antivirus V9","Skip-Agent","managed AV tied to ESET console/licensing"
"ESET Endpoint Antivirus V10","Skip-Agent","managed AV tied to ESET console/licensing"
"ESET Endpoint Antivirus V12","Skip-Agent","managed AV tied to ESET console/licensing"
"ESET Endpoint Encryption","Skip-Agent","managed AV tied to ESET console/licensing"
"ESET Endpoint Security V9","Skip-Agent","managed AV tied to ESET console/licensing"
"ESET Endpoint Security V12","Skip-Agent","managed AV tied to ESET console/licensing"
"Evernote","Skip-Niche","consumer note app with forced-update service; low enterprise value"
"exacqVision Client","Skip-Niche","VMS vertical"
"EZB Systems UltraISO","Skip-Licensed","licensed disc utilities"
"FactSet Workstation","Skip-Niche","vertical/regional line-of-business software"
"FastPictureViewer Professional","Skip-EOL","abandoned"
"FastStone Soft Capture","Skip-Niche","consumer screenshot tools; ShareX/Greenshot supported"
"FastStone Soft Image Viewer","Skip-Niche","consumer screenshot tools; ShareX/Greenshot supported"
"FastStone Soft Photo Resizer","Skip-Niche","consumer screenshot tools; ShareX/Greenshot supported"
"FileZilla","Skip-Niche","bundled-offer installer unsuited to silent automation (prior validation)"
"Filius","Skip-Niche","education vertical"
"FlashFXP","Skip-Licensed","licensed sync/FTP tools; free WinSCP/FileZilla-class covered"
"FlexWhere for Desktop","Skip-Niche","regional workplace SaaS"
"Forté Agent","Skip-EOL","usenet client, development ceased"
"Fortify","Skip-Licensed","licensed security tooling"
"Foxit PDF Editor 11","Skip-Licensed","licensed Foxit editors, old versions listed"
"Foxit PDF Editor 12","Skip-Licensed","licensed Foxit editors, old versions listed"
"Foxit PDF Editor 13","Skip-Licensed","licensed Foxit editors, old versions listed"
"Foxit PDF Editor 2024","Skip-Licensed","licensed Foxit editors, old versions listed"
"Foxit PDF Editor Pro 11","Skip-Licensed","licensed Foxit editors, old versions listed"
"Foxit PDF Editor Pro 11 (Multi-Language)","Skip-Licensed","licensed Foxit editors, old versions listed"
"Foxit PDF Editor Pro 13","Skip-Licensed","licensed Foxit editors, old versions listed"
"Foxit PDF Reader","Skip-Niche","installer behavior (bundled offers) unsuited to silent automation; excluded by prior validation"
"Foxit PhantomPDF 10","Skip-Licensed","licensed Foxit editors, old versions listed"
"Foxit PhantomPDF Pro 10","Skip-Licensed","licensed Foxit editors, old versions listed"
"Foxit PhantomPDF Pro 10 (Multi-Language)","Skip-Licensed","licensed Foxit editors, old versions listed"
"Frame App","Skip-Agent","Nutanix DaaS tenant client"
"Free Countdown Timer","Skip-Niche","trivial utility"
"FreeCAD","Add","free direct download, enterprise-relevant; port target"
"Front Desktop","Skip-Niche","SaaS wrapper"
"FTP Rush v3","Skip-Licensed","licensed sync/FTP tools; free WinSCP/FileZilla-class covered"
"Fusion 2025","Skip-Licensed","licensed (Clickteam)"
"Fuzzy Lookup Add-In For Excel","Skip-EOL","ancient unmaintained MS add-in"
"FXHOME HitFilm Express","Skip-Licensed","licensed creative software"
"Gadwin PrintScreen","Skip-Niche","consumer screenshot tools; ShareX/Greenshot supported"
"Gadwin PrintScreenPro","Skip-Niche","consumer screenshot tools; ShareX/Greenshot supported"
"Gadwin ScreenRecorder","Skip-Niche","consumer screenshot tools; ShareX/Greenshot supported"
"Galaxy Modeler","Skip-Niche","niche modeler family"
"Garden Gnome Package Viewer","Skip-Niche","niche authoring tools"
"Garmin BaseCamp","Skip-Niche","consumer device software"
"Garmin Express","Skip-Niche","consumer device software"
"General Workings Streamlabs OBS","Skip-Niche","consumer streaming; OBS itself not in catalog"
"Genesys Cloud","Skip-Agent","UC/telephony clients provisioned per tenant"
"Genesys Cloud Background Assistant","Skip-Agent","UC/telephony clients provisioned per tenant"
"GeoGebra 5","Skip-Splinter","family collapsed to one packager (represented by 'GeoGebra 6')"
"GeoGebra 6","Add","free educational math suite, direct download"
"Geomilieu","Skip-Niche","vertical/regional line-of-business software"
"Gephi","Add","free direct download, enterprise-relevant; port target"
"GIMP","Supported","existing packager: gimp"
"Git","Supported","existing packager: git"
"GitHub CLI","Add","free direct download, enterprise-relevant; port target"
"GnuPG VS-Desktop","Add","free direct download, enterprise-relevant; port target"
"GoAnywhere OpenPGP Studio","Skip-Wall","registration wall"
"Golden 6","Skip-Niche","licensed geology software family"
"Golden 7","Skip-Niche","licensed geology software family"
"Golden 8","Skip-Niche","licensed geology software family"
"GoLand 2017.3","Skip-Splinter","old GoLand years; latest tracked"
"GoLand 2021.1","Skip-Splinter","old GoLand years; latest tracked"
"GoLand 2022.2","Skip-Splinter","old GoLand years; latest tracked"
"GoLand 2024","Add","JetBrains free direct download; tracks latest"
"GoodSync 12","Skip-Licensed","licensed sync/FTP tools; free WinSCP/FileZilla-class covered"
"GoodSync Personal","Skip-Licensed","licensed sync/FTP tools; free WinSCP/FileZilla-class covered"
"Google Ads Editor","Skip-Niche","niche ad tooling"
"Google Backup and Sync","Skip-EOL","replaced by Drive for desktop"
"Google Chrome for Business","Supported","existing packager: chrome"
"Google Chrome Remote Desktop Host","Add","free MSI direct"
"Google Credential Provider for Windows","Add","free direct MSI, enterprise SSO component"
"Google Drive","Add","Google Drive for desktop, enterprise standard, free direct"
"Google Drive File Stream","Skip-Splinter","same product as Google Drive for desktop (Add)"
"Google Go Programming Language 1.16","Skip-Splinter","family collapsed to one packager (represented by 'Google Go Programming Language 1.22')"
"Google Go Programming Language 1.17","Skip-Splinter","family collapsed to one packager (represented by 'Google Go Programming Language 1.22')"
"Google Go Programming Language 1.18","Skip-Splinter","family collapsed to one packager (represented by 'Google Go Programming Language 1.22')"
"Google Go Programming Language 1.19","Skip-Splinter","family collapsed to one packager (represented by 'Google Go Programming Language 1.22')"
"Google Go Programming Language 1.20","Skip-Splinter","family collapsed to one packager (represented by 'Google Go Programming Language 1.22')"
"Google Go Programming Language 1.21","Skip-Splinter","family collapsed to one packager (represented by 'Google Go Programming Language 1.22')"
"Google Go Programming Language 1.22","Add","single golang packager tracking latest stable"
"Google Web Designer","Skip-Niche","niche ad tooling"
"GoTo Connect","Skip-Agent","LogMeIn/GoTo deployments are account-generated installers"
"Gpg4win","Add","free direct download, enterprise-relevant; port target"
"GraphDB Desktop","Skip-Wall","registration wall (Ontotext)"
"Graphviz","Add","free direct download, enterprise-relevant; port target"
"grepWin","Add","free direct download, enterprise-relevant; port target"
"gsudo","Add","free direct download, enterprise-relevant; port target"
"HandBrake","Add","free direct download, enterprise-relevant; port target"
"Hanword HWP document converter for Microsoft Word 2016","Skip-EOL","legacy converter"
"HashTools","Add","free direct download, enterprise-relevant; port target"
"HeidiSQL","Add","free direct download, enterprise-relevant; port target"
"HIPIN v4","Skip-Niche","regional eID tool"
"Horizon Collaborate","Skip-Agent","UC tenant client"
"HP Client Management Script Library","Skip-Component","PowerShell library, not an app"
"HP Prime Virtual Calculator","Skip-Niche","education vertical"
"Huddle Desktop","Skip-Agent","tenant collaboration client"
"HWMonitor","Add","free direct download, enterprise-relevant; port target"
"IAP Desktop","Add","Google free direct (GitHub releases)"
"Ibis Calculeren voor Bouw","Skip-Niche","vertical/regional line-of-business software"
"Ibis Calculeren voor Infra","Skip-Niche","vertical/regional line-of-business software"
"IBM Aspera Connect","Add","free transfer client, direct download"
"IBM Semeru Runtime Open Edition JDK 8 (LTS)","Add","Semeru LTS - free direct downloads (OpenJ9)"
"IBM Semeru Runtime Open Edition JDK 11 (LTS)","Add","Semeru LTS - free direct downloads (OpenJ9)"
"IBM Semeru Runtime Open Edition JDK 16","Skip-Splinter","non-LTS Semeru; LTS lines added instead"
"IBM Semeru Runtime Open Edition JDK 17 (LTS)","Add","Semeru LTS - free direct downloads (OpenJ9)"
"IBM Semeru Runtime Open Edition JDK 18","Skip-Splinter","non-LTS Semeru; LTS lines added instead"
"IBM Semeru Runtime Open Edition JDK 19","Skip-Splinter","non-LTS Semeru; LTS lines added instead"
"IBM Semeru Runtime Open Edition JDK 20","Skip-Splinter","non-LTS Semeru; LTS lines added instead"
"IBM Semeru Runtime Open Edition JDK 22","Skip-Splinter","non-LTS Semeru; LTS lines added instead"
"IBM Semeru Runtime Open Edition JRE 8 (LTS)","Add","Semeru LTS - free direct downloads (OpenJ9)"
"IBM Semeru Runtime Open Edition JRE 11 (LTS)","Add","Semeru LTS - free direct downloads (OpenJ9)"
"IBM Semeru Runtime Open Edition JRE 17 (LTS)","Add","Semeru LTS - free direct downloads (OpenJ9)"
"IBM Semeru Runtime Open Edition JRE 18","Skip-Splinter","non-LTS Semeru; LTS lines added instead"
"IBM Semeru Runtime Open Edition JRE 19","Skip-Splinter","non-LTS Semeru; LTS lines added instead"
"IBM Semeru Runtime Open Edition JRE 20","Skip-Splinter","non-LTS Semeru; LTS lines added instead"
"IBM Semeru Runtime Open Edition JRE 22","Skip-Splinter","non-LTS Semeru; LTS lines added instead"
"IcedTea-Web","Skip-Splinter","family collapsed to one packager (represented by 'OpenWebStart')"
"ImageGlass","Add","free direct download, enterprise-relevant; port target"
"iMazing Converter","Skip-Niche","consumer utility"
"Image-Line Software FL Studio","Skip-Licensed","licensed creative software"
"ImpExpPro","Skip-Niche","niche"
"Infix PDF Editor","Skip-Licensed","licensed PDF tools; free PDF stack covered elsewhere"
"Inkscape","Supported","existing packager: inkscape"
"Inmatrix Zoom Player Max","Skip-Niche","consumer media software"
"Install4j","Skip-Licensed","licensed"
"Intermedia Unite","Skip-Agent","UC/telephony clients provisioned per tenant"
"IrfanView","Add","free direct download, enterprise-relevant; port target"
"IronPython","Skip-Niche","niche runtime; CPython supported"
"IronPython 2.7","Skip-EOL","Python 2 era"
"IsoBuster","Skip-Licensed","licensed disc utilities"
"iZotope RX Advanced 10","Skip-Licensed","licensed creative software"
"Jabra Direct","Skip-Component","peripheral vendor utilities; low packaging value, frequent bundled updaters"
"JAM Software TreeSize Free","Supported","existing packager: treesizefree"
"JAWS 2025","Skip-Licensed","licensed assistive tech"
